planet_name,qrid,@qrcodeimage
The Planet of Adaptive Chaos,5079e2a27b1f4120a38dc223652990ae,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:5079e2a27b1f4120a38dc223652990ae.png
The Planet of Systemic Chaos,a4c48e80da534c0a8dadcad054dd9e03,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:a4c48e80da534c0a8dadcad054dd9e03.png
The Planet of Complex Economies,253764cd1114445191d5903233d577ab,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:253764cd1114445191d5903233d577ab.png
The Planet of Chaotic Organizations,fedd60c43d5a45c7831ff2cf0eb28ba8,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:fedd60c43d5a45c7831ff2cf0eb28ba8.png
The Planet of Anarchic Chaos,9228b64cce5d44f7b5a92da5e3fc92b5,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:9228b64cce5d44f7b5a92da5e3fc92b5.png
The Planet of Looping Theories,f1af96e4a8824b988e120b61dad74e52,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:f1af96e4a8824b988e120b61dad74e52.png
The Planet of Looping Friendship,b412118efb5c41d6bd7c6eeba91d9f09,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:b412118efb5c41d6bd7c6eeba91d9f09.png
The Planet of Forking Circulation,cf7f6aa31a1d453cb21892d2c75bc9ea,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:cf7f6aa31a1d453cb21892d2c75bc9ea.png
The Planet of Meta Feedback,ca96c5cf11ea4ec7b92b7cd0ef332561,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:ca96c5cf11ea4ec7b92b7cd0ef332561.png
The Planet of Organized Fauna,4b97e324ce31400a8ed7b8221a481b1d,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:4b97e324ce31400a8ed7b8221a481b1d.png
The Planet of Reinforcing Languages,7ec40c67ecf6469983cf579714c6abca,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:7ec40c67ecf6469983cf579714c6abca.png
The Planet of Networked Fauna,72ec2d35b1fb4c0296d4d72934215194,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:72ec2d35b1fb4c0296d4d72934215194.png
The Planet of Networked Art,58dbd9cdde154804ad76dbd6fcb30f36,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:58dbd9cdde154804ad76dbd6fcb30f36.png
The Planet of Adaptive Balance,d61fee34b90f42ca85227f2f5d662efb,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:d61fee34b90f42ca85227f2f5d662efb.png
The Planet of Circular Exchange,9bb393fb00784b55995519f426743d79,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:9bb393fb00784b55995519f426743d79.png
The Planet of Cryptographic Agents,e958a0103a124fb389f423676f4cea6c,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:e958a0103a124fb389f423676f4cea6c.png
The Planet of Autonomous Chaos,b20264bdfc4d49e9be07bd7f54287f40,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:b20264bdfc4d49e9be07bd7f54287f40.png
The Planet of Theoretical Chaos,fd8ac53dc1c74a4e815d977da032c39f,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:fd8ac53dc1c74a4e815d977da032c39f.png
The Planet of Anarchic Balance,c933e06809f94dc98272225474148c9b,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:c933e06809f94dc98272225474148c9b.png
The Planet of Chaotic Networks,d1c2f430889b43edbe661dd6b6cabf3b,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:d1c2f430889b43edbe661dd6b6cabf3b.png
The Planet of Adaptive Agents,5a69c281deeb483eb46b2cff25ef55c4,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:5a69c281deeb483eb46b2cff25ef55c4.png
The Planet of Evolving Theories,7a69c7ef9394451dadb1a22c1f55468c,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:7a69c7ef9394451dadb1a22c1f55468c.png
The Planet of Cognitive Languages,d91528501e7c4e62966aee4bfb394b1e,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:d91528501e7c4e62966aee4bfb394b1e.png
The Planet of Anarchic Theories,00ae883943fb479cb16081e7cb95d1db,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:00ae883943fb479cb16081e7cb95d1db.png
The Planet of Forking Networks,e3fbeff737774cd6ba630175b7f0b265,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:e3fbeff737774cd6ba630175b7f0b265.png
The Planet of Economic Governance,cf2a7118b5df4e0d9d30fc489be61c33,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:cf2a7118b5df4e0d9d30fc489be61c33.png
The Planet of Computational Organizations,4b2acd440d7e43c4bf5acce5a54b53a3,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:4b2acd440d7e43c4bf5acce5a54b53a3.png
The Planet of Chaotic Biologies,d864b14c27714972ae24b60ebc2ab9c0,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:d864b14c27714972ae24b60ebc2ab9c0.png
The Planet of Variable Networks,5bde1a013162491e98817578b51a8378,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:5bde1a013162491e98817578b51a8378.png
The Planet of Variable Fauna,3dabc857b131474a9bcfd24e4e02a36c,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:3dabc857b131474a9bcfd24e4e02a36c.png
The Planet of Meta Utopia,d69bccf593204bbe8de561281a86d911,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:d69bccf593204bbe8de561281a86d911.png
The Planet of Simulated Play,b2c9eaff71294b91af7ddc5e991d8b25,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:b2c9eaff71294b91af7ddc5e991d8b25.png
The Planet of Harmonious Play,e4e1cbf01d3d446bb22f4ecbac33915f,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:e4e1cbf01d3d446bb22f4ecbac33915f.png
The Planet of Designed Societies,578764bdc2254ab69a4fad5598b424d1,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:578764bdc2254ab69a4fad5598b424d1.png
The Planet of Meta Art,ac803098459d47958b36b3b1294be142,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:ac803098459d47958b36b3b1294be142.png
The Planet of Designed Languages,140cb575064a48be98342acbb10c4b09,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:140cb575064a48be98342acbb10c4b09.png
The Planet of Complex Machines,9612f676d17c4335ad4e865f5e39f072,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:9612f676d17c4335ad4e865f5e39f072.png
The Planet of Computational Networks,ce26a941d40e410f9f0917236261ae47,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:ce26a941d40e410f9f0917236261ae47.png
The Planet of Controlled Friendship,7c65ba802e774dea8046abf1476cad18,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:7c65ba802e774dea8046abf1476cad18.png
The Planet of Systemic Governance,e725d03137304d50bee6d564e27c81f5,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:e725d03137304d50bee6d564e27c81f5.png
The Planet of Meta Chaos,bc0c9be210aa4f7bace5871026286ba3,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:bc0c9be210aa4f7bace5871026286ba3.png
The Planet of Chaotic Play,0383bcc3ee574e33b1e00471a5e7ff1f,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:0383bcc3ee574e33b1e00471a5e7ff1f.png
The Planet of Social Friendship,3a44b94cf4fb4448b242fc9a1a6c966f,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:3a44b94cf4fb4448b242fc9a1a6c966f.png
The Planet of Balanced Theories,9f0ad049f45c47e39826039af6a482d5,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:9f0ad049f45c47e39826039af6a482d5.png
The Planet of Meta Languages,659460e87cf0416994944f35ebfb3935,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:659460e87cf0416994944f35ebfb3935.png
The Planet of Cryptographic Varieties,e5adea6a70c549df99f46930b5c3ec1f,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:e5adea6a70c549df99f46930b5c3ec1f.png
The Planet of Meta Machines,77b4aed6caed41dfbc753c3ae7ded1b4,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:77b4aed6caed41dfbc753c3ae7ded1b4.png
The Planet of General Functions,be714730de1148bfbb5641ddfc788582,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:be714730de1148bfbb5641ddfc788582.png
The Planet of Circulating Utopia,34affb7c47f144f3b9c529ba31671bcd,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:34affb7c47f144f3b9c529ba31671bcd.png
The Planet of General Computation,18dc4ccb4afd49659ca5f6d6ad97f8dc,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:18dc4ccb4afd49659ca5f6d6ad97f8dc.png
The Planet of Meta Varieties,e91f7c771a4140e5acfe816def8a1d80,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:e91f7c771a4140e5acfe816def8a1d80.png
The Planet of Theoretical Organizations,0562c8bef9fd487db684376a865862a9,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:0562c8bef9fd487db684376a865862a9.png
The Planet of Adaptive Varieties,7adf028f9b124e7a95d99e9db4ef5bcf,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:7adf028f9b124e7a95d99e9db4ef5bcf.png
The Planet of Reinforcing Functions,5854d6bb47204e8aa08773fdd95c4dd7,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:5854d6bb47204e8aa08773fdd95c4dd7.png
The Planet of Anarchic Communication,a6a4cb1cd8184326a99ad87648508319,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:a6a4cb1cd8184326a99ad87648508319.png
The Planet of Organized Chaos,30bd3947c8f34b23bacfb7bbe54ffc76,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:30bd3947c8f34b23bacfb7bbe54ffc76.png
The Planet of Circular Exchange,d17d2a46953a495ba50d85107380d4c2,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:d17d2a46953a495ba50d85107380d4c2.png
The Planet of Designed Agents,bfcf38f17b8d4e6099292f09833f01dd,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:bfcf38f17b8d4e6099292f09833f01dd.png
The Planet of Forking Friendship,62f1e2b886f2484581dfda59a0414995,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:62f1e2b886f2484581dfda59a0414995.png
The Planet of Evolving Loops,57e5f88de76b412495da2406d9da16ba,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:57e5f88de76b412495da2406d9da16ba.png
The Planet of Biological Chaos,1a1d80d536f9438d8fa720d3ac0ecb28,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:1a1d80d536f9438d8fa720d3ac0ecb28.png
The Planet of Controlled Flora,18fa59c31ed5462583574da0a9ccda8d,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:18fa59c31ed5462583574da0a9ccda8d.png
The Planet of Harmonious Networks,3a641efb9c4a488db045dfc260c6cf3d,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:3a641efb9c4a488db045dfc260c6cf3d.png
The Planet of Organized Computation,aca0661cd5a84e98b78cce4a3dcb1ec9,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:aca0661cd5a84e98b78cce4a3dcb1ec9.png
The Planet of Biological Systems,6faba62bb1dc41ffaba6345b88c1f97e,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:6faba62bb1dc41ffaba6345b88c1f97e.png
The Planet of Cognitive Utopia,e6a608534b8f42ff94158dafdf34cdfd,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:e6a608534b8f42ff94158dafdf34cdfd.png
The Planet of Adaptive Feedback,c991bc2cd8da48a1b523b76fe1727688,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:c991bc2cd8da48a1b523b76fe1727688.png
The Planet of Economic Networks,f7b52428e225498d8b22bc597a546a08,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:f7b52428e225498d8b22bc597a546a08.png
The Planet of Autonomous Production,66fe7f830cdd47308229dbc4aa8b1cf7,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:66fe7f830cdd47308229dbc4aa8b1cf7.png
The Planet of Theoretical Organizations,360bdd7737c04fbca0d185c20a2a3b77,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:360bdd7737c04fbca0d185c20a2a3b77.png
The Planet of Cognitive Machines,e3130f8371a7474daba18d320eb1619a,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:e3130f8371a7474daba18d320eb1619a.png
The Planet of Chaotic Functions,6b35461c53fb484a8f2c4fc62eaa8fdf,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:6b35461c53fb484a8f2c4fc62eaa8fdf.png
The Planet of Adaptive Flora,ff4ab121b91f4ced9bf1a89f8e944ad2,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:ff4ab121b91f4ced9bf1a89f8e944ad2.png
The Planet of Artistic Fauna,5d515a4cd583437b95d969bec3339f6f,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:5d515a4cd583437b95d969bec3339f6f.png
The Planet of Cognitive Functions,ce3b86b1a835438995407c36c32a8653,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:ce3b86b1a835438995407c36c32a8653.png
The Planet of Autonomous Circulation,d766a9fef1654c84a951bd6ce546de10,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:d766a9fef1654c84a951bd6ce546de10.png
The Planet of Meta Communication,b53b18a0330f412eace90bfdaaef34ce,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:b53b18a0330f412eace90bfdaaef34ce.png
The Planet of Cybernetic Machines,b9ebd99359f04f9cb303a513a9066cfa,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:b9ebd99359f04f9cb303a513a9066cfa.png
The Planet of Flourishing Utopia,1f7a85d2c61b4a019d9d590163dd675c,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:1f7a85d2c61b4a019d9d590163dd675c.png
The Planet of Looping Complexity,62508849d8a044319ccf0e982a2653fe,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:62508849d8a044319ccf0e982a2653fe.png
The Planet of Circulating Complexity,9a33cb2ae6874bd1bbeffc1625ef11db,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:9a33cb2ae6874bd1bbeffc1625ef11db.png
The Planet of Theoretical Machines,6af812a4710645c08076e9f204244d7f,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:6af812a4710645c08076e9f204244d7f.png
The Planet of Biological Networks,fb451f7075744e82b1e754a1868b824c,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:fb451f7075744e82b1e754a1868b824c.png
The Planet of Designed Utopia,7b74e87587264a4da76f4f7ce8f8393e,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:7b74e87587264a4da76f4f7ce8f8393e.png
The Planet of Forking Communication,948eed6d1a4e4239bc36dd342345f42a,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:948eed6d1a4e4239bc36dd342345f42a.png
The Planet of Systemic Utopia,daf791c7eb54421b85263b742ffb2128,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:daf791c7eb54421b85263b742ffb2128.png
The Planet of Evolving Societies,0bffdaf7d01a424abbf0cc2e6df8c996,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:0bffdaf7d01a424abbf0cc2e6df8c996.png
The Planet of Evolving Organizations,ae6775e745354301b6ddecf731ed6de3,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:ae6775e745354301b6ddecf731ed6de3.png
The Planet of Reinforcing Chaos,3ed78def90b14ac3a3e85894fc1d69ac,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:3ed78def90b14ac3a3e85894fc1d69ac.png
The Planet of Controlled Theories,3c8d46a4e7544132ad64df28aa41c63c,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:3c8d46a4e7544132ad64df28aa41c63c.png
The Planet of Forking Machines,2ef36cf92f934aa39a79aa630fa27e16,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:2ef36cf92f934aa39a79aa630fa27e16.png
The Planet of Anarchic Contemplation,53b02adc7752496fb311d9c39edcc5b1,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:53b02adc7752496fb311d9c39edcc5b1.png
